Month Name,Agency,Description,Borough,# of Incidents,Response Times
2019 / 06,FDNY,Average response time to structural fires,Bronx,254,638.96
2019 / 06,FDNY,Average response time to structural fires,Brooklyn,305,291.37
2019 / 06,FDNY,Average response time to structural fires,Manhattan,216,318.05
2019 / 06,FDNY,Average response time to structural fires,Queens,155,337.83
2019 / 06,FDNY,Average response time to structural fires,Staten Island,41,323.59
2019 / 06,FDNY,Average response time to non-structural fires,Bronx,115,385.03
2019 / 06,FDNY,Average response time to non-structural fires,Brooklyn,214,370.07
2019 / 06,FDNY,Average response time to non-structural fires,Manhattan,145,974.68
2019 / 06,FDNY,Average response time to non-structural fires,Queens,147,365.73
2019 / 06,FDNY,Average response time to non-structural fires,Staten Island,35,329.89
2019 / 06,FDNY,Average response time to non-fire emergencies,Bronx,5761,610.53
2019 / 06,FDNY,Average response time to non-fire emergencies,Brooklyn,8411,497.41
2019 / 06,FDNY,Average response time to non-fire emergencies,Manhattan,6580,560.03
2019 / 06,FDNY,Average response time to non-fire emergencies,Queens,5628,566.38
2019 / 06,FDNY,Average response time to non-fire emergencies,Staten Island,1489,510.14
2019 / 06,FDNY,Average response time to non-fire emergencies,Unspecified,9,721.89
2019 / 06,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,439,504.45
2019 / 06,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,519,505.23
2019 / 06,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,449,460.02
2019 / 06,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,457,500.01
2019 / 06,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,100,447.32
2019 / 06,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,9815,595.48
2019 / 06,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,11523,574
2019 / 06,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,10917,563.35
2019 / 06,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,8183,587.32
2019 / 06,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,1812,531.61
2019 / 06,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,29,888.48
2019 / 06,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,24866,841.16
2019 / 06,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,29182,749.97
2019 / 06,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,25940,778.96
2019 / 06,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,20855,684.71
2019 / 06,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4388,622.59
2019 / 06,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,190,1229.19
2019 / 06,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2407,512.18
2019 / 06,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4119,434.42
2019 / 06,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,2986,497.62
2019 / 06,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2811,465.91
2019 / 06,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,629,448.02
2019 / 06,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,3,578.33
2019 / 06,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,10668,576.07
2019 / 06,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,12729,518.9
2019 / 06,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,12091,537.32
2019 / 06,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,9011,524.81
2019 / 06,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,1983,482.31
2019 / 06,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,32,843.21
2019 / 06,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,4590,49.08
2019 / 06,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,7180,52.1
2019 / 06,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,7146,57.23
2019 / 06,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,4707,42.13
2019 / 06,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1090,55.6
2019 / 06,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,16,25
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,369,37.4
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,519,62.43
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,361,39.89
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,302,38.74
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,76,53.95
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,369,60.16
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,519,34.68
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,361,56.51
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,302,58.28
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,76,43.42
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,369,2.17
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,519,1.73
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,361,3.05
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,302,2.32
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,76,2.63
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,369,0.27
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,519,1.16
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,361,0.55
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,302,0.66
2019 / 06,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,76,0
2019 / 05,FDNY,Average response time to structural fires,Bronx,265,327.55
2019 / 05,FDNY,Average response time to structural fires,Brooklyn,354,262.88
2019 / 05,FDNY,Average response time to structural fires,Manhattan,188,345.57
2019 / 05,FDNY,Average response time to structural fires,Queens,194,310.3
2019 / 05,FDNY,Average response time to structural fires,Staten Island,41,298.29
2019 / 05,FDNY,Average response time to structural fires,Unspecified,1,237
2019 / 05,FDNY,Average response time to non-structural fires,Bronx,99,359.46
2019 / 05,FDNY,Average response time to non-structural fires,Brooklyn,192,354.15
