Month,Description,Borough,IncidentsNo,AvgResponseTimesSeconds,AvgResponseTimesMinutes
09/2016,Life threatening medical emergencies EMS & FDNY,Bronx,10006,506.01,8.0
10/2016,Life threatening medical emergencies EMS & FDNY,Bronx,10581,508.77,8.0
11/2016,Life threatening medical emergencies EMS & FDNY,Bronx,9937,502.45,8.0
12/2016,Life threatening medical emergencies EMS & FDNY,Bronx,11007,523.61,9.0
01/2017,Life threatening medical emergencies EMS & FDNY,Bronx,11071,531.6,9.0
02/2017,Life threatening medical emergencies EMS & FDNY,Bronx,9485,513.7,9.0
03/2017,Life threatening medical emergencies EMS & FDNY,Bronx,10202,522.61,9.0
04/2017,Life threatening medical emergencies EMS & FDNY,Bronx,10391,511.91,9.0
05/2017,Life threatening medical emergencies EMS & FDNY,Bronx,11277,516.52,9.0
06/2017,Life threatening medical emergencies EMS & FDNY,Bronx,10872,523.07,9.0
07/2017,Life threatening medical emergencies EMS & FDNY,Bronx,10596,503.84,8.0
08/2017,Life threatening medical emergencies EMS & FDNY,Bronx,10581,495.54,8.0
09/2017,Life threatening medical emergencies EMS & FDNY,Bronx,10591,511.39,9.0
10/2017,Life threatening medical emergencies EMS & FDNY,Bronx,11103,510.65,9.0
11/2017,Life threatening medical emergencies EMS & FDNY,Bronx,10376,521.88,9.0
12/2017,Life threatening medical emergencies EMS & FDNY,Bronx,10805,535.73,9.0
01/2018,Life threatening medical emergencies EMS & FDNY,Bronx,11998,569.79,9.0
02/2018,Life threatening medical emergencies EMS & FDNY,Bronx,10684,536.97,9.0
03/2018,Life threatening medical emergencies EMS & FDNY,Bronx,9866,516.7,9.0
04/2018,Life threatening medical emergencies EMS & FDNY,Bronx,10247,521.8,9.0
05/2018,Life threatening medical emergencies EMS & FDNY,Bronx,11729,556.89,9.0
06/2018,Life threatening medical emergencies EMS & FDNY,Bronx,10947,554.83,9.0
07/2018,Life threatening medical emergencies EMS & FDNY,Bronx,10920,553.36,9.0
08/2018,Life threatening medical emergencies EMS & FDNY,Bronx,11136,527.57,9.0
09/2018,Life threatening medical emergencies EMS & FDNY,Bronx,10910,537.42,9.0
10/2018,Life threatening medical emergencies EMS & FDNY,Bronx,11594,536.79,9.0
11/2018,Life threatening medical emergencies EMS & FDNY,Bronx,10652,590.78,10.0
12/2018,Life threatening medical emergencies EMS & FDNY,Bronx,11304,565.9,9.0
01/2019,Life threatening medical emergencies EMS & FDNY,Bronx,11491,560.7,9.0
02/2019,Life threatening medical emergencies EMS & FDNY,Bronx,10277,555.15,9.0
03/2019,Life threatening medical emergencies EMS & FDNY,Bronx,11127,561.08,9.0
04/2019,Life threatening medical emergencies EMS & FDNY,Bronx,10574,566.25,9.0
05/2019,Life threatening medical emergencies EMS & FDNY,Bronx,11660,595.06,10.0
06/2019,Life threatening medical emergencies EMS & FDNY,Bronx,10668,576.07,10.0
