Month,Description,Borough,IncidentsNo,AvgResponseTimesSeconds,AvgResponseTimesMinutes
09/2016,Life threatening medical emergencies EMS & FDNY,Brooklyn,12586,471.87,8.0
10/2016,Life threatening medical emergencies EMS & FDNY,Brooklyn,12901,477.37,8.0
11/2016,Life threatening medical emergencies EMS & FDNY,Brooklyn,12205,476.1,8.0
12/2016,Life threatening medical emergencies EMS & FDNY,Brooklyn,13150,494.61,8.0
01/2017,Life threatening medical emergencies EMS & FDNY,Brooklyn,12992,496.77,8.0
02/2017,Life threatening medical emergencies EMS & FDNY,Brooklyn,11240,489.2,8.0
03/2017,Life threatening medical emergencies EMS & FDNY,Brooklyn,12375,497.48,8.0
04/2017,Life threatening medical emergencies EMS & FDNY,Brooklyn,12545,474.25,8.0
05/2017,Life threatening medical emergencies EMS & FDNY,Brooklyn,13740,479.79,8.0
06/2017,Life threatening medical emergencies EMS & FDNY,Brooklyn,13504,469.39,8.0
07/2017,Life threatening medical emergencies EMS & FDNY,Brooklyn,13425,460.84,8.0
08/2017,Life threatening medical emergencies EMS & FDNY,Brooklyn,13028,457.32,8.0
09/2017,Life threatening medical emergencies EMS & FDNY,Brooklyn,12764,465.8,8.0
10/2017,Life threatening medical emergencies EMS & FDNY,Brooklyn,13012,463.03,8.0
11/2017,Life threatening medical emergencies EMS & FDNY,Brooklyn,12449,497.94,8.0
12/2017,Life threatening medical emergencies EMS & FDNY,Brooklyn,13135,491.79,8.0
01/2018,Life threatening medical emergencies EMS & FDNY,Brooklyn,14250,529.9,9.0
02/2018,Life threatening medical emergencies EMS & FDNY,Brooklyn,12038,489.92,8.0
03/2018,Life threatening medical emergencies EMS & FDNY,Brooklyn,12158,480.21,8.0
04/2018,Life threatening medical emergencies EMS & FDNY,Brooklyn,12268,476.67,8.0
05/2018,Life threatening medical emergencies EMS & FDNY,Brooklyn,13861,498.38,8.0
06/2018,Life threatening medical emergencies EMS & FDNY,Brooklyn,13257,493.4,8.0
07/2018,Life threatening medical emergencies EMS & FDNY,Brooklyn,13368,500.01,8.0
08/2018,Life threatening medical emergencies EMS & FDNY,Brooklyn,13373,487.8,8.0
09/2018,Life threatening medical emergencies EMS & FDNY,Brooklyn,12688,502.74,8.0
10/2018,Life threatening medical emergencies EMS & FDNY,Brooklyn,13521,498.65,8.0
11/2018,Life threatening medical emergencies EMS & FDNY,Brooklyn,12716,506.94,8.0
12/2018,Life threatening medical emergencies EMS & FDNY,Brooklyn,13369,501.62,8.0
01/2019,Life threatening medical emergencies EMS & FDNY,Brooklyn,13305,505.14,8.0
02/2019,Life threatening medical emergencies EMS & FDNY,Brooklyn,11818,507.34,8.0
03/2019,Life threatening medical emergencies EMS & FDNY,Brooklyn,12526,503.08,8.0
04/2019,Life threatening medical emergencies EMS & FDNY,Brooklyn,12275,505.85,8.0
05/2019,Life threatening medical emergencies EMS & FDNY,Brooklyn,13422,516.61,9.0
06/2019,Life threatening medical emergencies EMS & FDNY,Brooklyn,12729,518.9,9.0
