Month,Description,Borough,IncidentsNo,AvgResponseTimesSeconds,AvgResponseTimesMinutes
09/2016,Life threatening medical emergencies EMS & FDNY,Manhattan,10914,505.73,8.428833333333333
10/2016,Life threatening medical emergencies EMS & FDNY,Manhattan,10953,496.48,8.274666666666667
11/2016,Life threatening medical emergencies EMS & FDNY,Manhattan,9898,483.24,8.054
12/2016,Life threatening medical emergencies EMS & FDNY,Manhattan,11021,500.51,8.341833333333334
01/2017,Life threatening medical emergencies EMS & FDNY,Manhattan,10573,500.87,8.347833333333334
02/2017,Life threatening medical emergencies EMS & FDNY,Manhattan,9450,491.86,8.197666666666667
03/2017,Life threatening medical emergencies EMS & FDNY,Manhattan,10138,503.89,8.398166666666667
04/2017,Life threatening medical emergencies EMS & FDNY,Manhattan,10675,481.04,8.017333333333333
05/2017,Life threatening medical emergencies EMS & FDNY,Manhattan,11922,494.92,8.248666666666667
06/2017,Life threatening medical emergencies EMS & FDNY,Manhattan,11910,489.97,8.166166666666667
07/2017,Life threatening medical emergencies EMS & FDNY,Manhattan,11560,473.49,7.8915
08/2017,Life threatening medical emergencies EMS & FDNY,Manhattan,11494,468.42,7.807
09/2017,Life threatening medical emergencies EMS & FDNY,Manhattan,11831,494.65,8.244166666666667
10/2017,Life threatening medical emergencies EMS & FDNY,Manhattan,11975,482.68,8.044666666666666
11/2017,Life threatening medical emergencies EMS & FDNY,Manhattan,10718,508.17,8.4695
12/2017,Life threatening medical emergencies EMS & FDNY,Manhattan,11307,507.43,8.457166666666668
01/2018,Life threatening medical emergencies EMS & FDNY,Manhattan,11491,528.13,8.802166666666666
02/2018,Life threatening medical emergencies EMS & FDNY,Manhattan,9800,495.75,8.2625
03/2018,Life threatening medical emergencies EMS & FDNY,Manhattan,10327,510.09,8.5015
04/2018,Life threatening medical emergencies EMS & FDNY,Manhattan,10817,507.82,8.463666666666667
05/2018,Life threatening medical emergencies EMS & FDNY,Manhattan,12253,527.46,8.791
06/2018,Life threatening medical emergencies EMS & FDNY,Manhattan,12127,526.01,8.766833333333333
07/2018,Life threatening medical emergencies EMS & FDNY,Manhattan,12306,517.84,8.630666666666666
08/2018,Life threatening medical emergencies EMS & FDNY,Manhattan,12509,524.2,8.736666666666668
09/2018,Life threatening medical emergencies EMS & FDNY,Manhattan,11795,538.3,8.971666666666666
10/2018,Life threatening medical emergencies EMS & FDNY,Manhattan,12782,531.12,8.852
11/2018,Life threatening medical emergencies EMS & FDNY,Manhattan,11808,558.83,9.313833333333333
12/2018,Life threatening medical emergencies EMS & FDNY,Manhattan,11866,531.58,8.859666666666667
01/2019,Life threatening medical emergencies EMS & FDNY,Manhattan,10979,505.43,8.423833333333333
02/2019,Life threatening medical emergencies EMS & FDNY,Manhattan,10178,517.21,8.620166666666668
03/2019,Life threatening medical emergencies EMS & FDNY,Manhattan,11460,520.5,8.675
04/2019,Life threatening medical emergencies EMS & FDNY,Manhattan,10926,519.32,8.655333333333335
05/2019,Life threatening medical emergencies EMS & FDNY,Manhattan,12533,549.68,9.161333333333333
06/2019,Life threatening medical emergencies EMS & FDNY,Manhattan,12091,537.32,8.955333333333334
