Month,Description,Borough,IncidentsNo,AvgResponseTimesSeconds,AvgResponseTimesMinutes
09/2016,Life threatening medical emergencies EMS & FDNY,Staten Island,1948,454.51,7.575166666666666
10/2016,Life threatening medical emergencies EMS & FDNY,Staten Island,2050,447.53,7.458833333333333
11/2016,Life threatening medical emergencies EMS & FDNY,Staten Island,1898,453.26,7.554333333333333
12/2016,Life threatening medical emergencies EMS & FDNY,Staten Island,2142,469.03,7.817166666666666
01/2017,Life threatening medical emergencies EMS & FDNY,Staten Island,2099,469.8,7.83
02/2017,Life threatening medical emergencies EMS & FDNY,Staten Island,1856,452.95,7.549166666666666
03/2017,Life threatening medical emergencies EMS & FDNY,Staten Island,1953,461.22,7.687
04/2017,Life threatening medical emergencies EMS & FDNY,Staten Island,2095,455.71,7.595166666666667
05/2017,Life threatening medical emergencies EMS & FDNY,Staten Island,2105,459.38,7.656333333333333
06/2017,Life threatening medical emergencies EMS & FDNY,Staten Island,2197,449.94,7.499
07/2017,Life threatening medical emergencies EMS & FDNY,Staten Island,2193,450.57,7.5095
08/2017,Life threatening medical emergencies EMS & FDNY,Staten Island,2030,451.92,7.532
09/2017,Life threatening medical emergencies EMS & FDNY,Staten Island,1948,448.02,7.467
10/2017,Life threatening medical emergencies EMS & FDNY,Staten Island,2129,447.32,7.455333333333333
11/2017,Life threatening medical emergencies EMS & FDNY,Staten Island,2058,461.95,7.699166666666667
12/2017,Life threatening medical emergencies EMS & FDNY,Staten Island,2172,474.82,7.913666666666667
01/2018,Life threatening medical emergencies EMS & FDNY,Staten Island,2289,490.25,8.170833333333333
02/2018,Life threatening medical emergencies EMS & FDNY,Staten Island,1994,461.37,7.6895
03/2018,Life threatening medical emergencies EMS & FDNY,Staten Island,1941,459.71,7.661833333333333
04/2018,Life threatening medical emergencies EMS & FDNY,Staten Island,1963,466.04,7.767333333333334
05/2018,Life threatening medical emergencies EMS & FDNY,Staten Island,2225,475.81,7.930166666666667
06/2018,Life threatening medical emergencies EMS & FDNY,Staten Island,2065,474.76,7.9126666666666665
07/2018,Life threatening medical emergencies EMS & FDNY,Staten Island,2040,468.37,7.806166666666667
08/2018,Life threatening medical emergencies EMS & FDNY,Staten Island,2017,470.45,7.840833333333333
09/2018,Life threatening medical emergencies EMS & FDNY,Staten Island,2023,473.11,7.885166666666667
10/2018,Life threatening medical emergencies EMS & FDNY,Staten Island,2176,464.36,7.739333333333334
11/2018,Life threatening medical emergencies EMS & FDNY,Staten Island,2113,478.97,7.982833333333334
12/2018,Life threatening medical emergencies EMS & FDNY,Staten Island,2330,475.87,7.931166666666667
01/2019,Life threatening medical emergencies EMS & FDNY,Staten Island,2220,471.57,7.8595
02/2019,Life threatening medical emergencies EMS & FDNY,Staten Island,1995,468.93,7.8155
03/2019,Life threatening medical emergencies EMS & FDNY,Staten Island,2125,470.35,7.839166666666667
04/2019,Life threatening medical emergencies EMS & FDNY,Staten Island,2005,473.18,7.886333333333334
05/2019,Life threatening medical emergencies EMS & FDNY,Staten Island,2044,476.28,7.938
06/2019,Life threatening medical emergencies EMS & FDNY,Staten Island,1983,482.31,8.0385
